time_boot_ms,C,Q1,Q2,Q3,Q4
94256.253,1,0.9999848008155823,-0.0012585207587108016,0.005364810582250357,5.920562762185e-05
94296.232,1,0.9999848008155823,-0.0012682633241638541,0.0053686294704675674,7.483477384084836e-05
94336.212,1,0.9999847412109375,-0.0012563884956762195,0.005376146640628576,7.901919161668047e-05
94376.229,1,0.9999847412109375,-0.0012498344294726849,0.0053833238780498505,9.193454752676189e-05
94416.26,1,0.9999847412109375,-0.0012321443064138293,0.005379898939281702,8.381296356674284e-05
94456.261,1,0.9999845623970032,-0.0012551069958135486,0.005409546196460724,7.985108823049814e-05
94496.262,1,0.9999845027923584,-0.0012484996113926172,0.00542380940169096,9.491523815086111e-05
94536.202,1,0.9999845623970032,-0.0012533871922641993,0.005415713880211115,0.0001042131261783652
94576.234,1,0.9999845027923584,-0.001282940269447863,0.005421303678303957,0.00011627582716755569
94616.219,1,0.9999845027923584,-0.0012890775687992573,0.005418132990598679,0.0001228207693202421
94656.256,1,0.999984622001648,-0.0012803185964003205,0.005396684631705284,0.00013071051216684282
94696.268,1,0.9999845623970032,-0.001288964063860476,0.005402647890150547,0.00014165315951686352
94736.264,1,0.9999845623970032,-0.0012837727554142475,0.005410052835941315,0.00011885895219165832
94776.199,1,0.9999843835830688,-0.0012784720165655017,0.005438521970063448,0.00012804579455405474
94816.246,1,0.9999844431877136,-0.001282178913243115,0.005427043419331312,0.00012485547631513327
94856.23,1,0.9999845027923584,-0.0012861955910921097,0.0054151564836502075,0.00013796225539408624
94896.249,1,0.9999845623970032,-0.00128253735601902,0.005402726586908102,0.00013549435243476182
94936.285,1,0.9999845027923584,-0.0012828934704884887,0.0054152715019881725,0.00013347477943170816
94976.262,1,0.9999845027923584,-0.0012714689364656806,0.0054230401292443275,0.00013095929170958698
95016.199,1,0.9999843239784241,-0.0012897098204120994,0.005443696863949299,0.00012548378435894847
95056.234,1,0.9999842643737793,-0.00127602054271847,0.0054576825350522995,0.0001252528018085286
95096.26,1,0.9999842047691345,-0.0012811018386855721,0.005469018593430519,0.00011246844223933294
95136.27,1,0.9999842047691345,-0.0012936614220961928,0.005465242080390453,9.37126314966008e-05
95176.284,1,0.9999842643737793,-0.001298118382692337,0.005455310456454754,9.662967931944877e-05
95216.247,1,0.9999843835830688,-0.0012888237833976746,0.005438630934804678,9.620838682167232e-05
95256.239,1,0.9999843239784241,-0.0013092687586322427,0.0054383063688874245,9.639102790970355e-05
95296.229,1,0.9999843239784241,-0.0013214534847065806,0.005437791813164949,9.714067709865049e-05
95336.269,1,0.9999842047691345,-0.001315814210101962,0.005458681378513575,0.00010236494563287124
95376.274,1,0.9999842643737793,-0.0013199447421357036,0.005452476441860199,0.00010508403647691011
95416.254,1,0.9999843835830688,-0.0013317567063495517,0.00543179688975215,9.545283683110029e-05
95456.213,1,0.9999843239784241,-0.0013211412588134408,0.005443198140710592,0.00011430305312387645
95496.227,1,0.9999843835830688,-0.0013147611171007156,0.005433730315417051,9.286348358727992e-05
95536.222,1,0.9999843239784241,-0.0013336538104340434,0.005431677680462599,0.00010518944327486679
95576.265,1,0.9999843239784241,-0.001353967236354947,0.005436526611447334,9.45004285313189e-05
95616.274,1,0.9999842047691345,-0.001367652788758278,0.005455588456243277,9.363096614833921e-05
95656.242,1,0.9999841451644897,-0.0013833838747814298,0.005459401290863752,8.853938925312832e-05
95696.208,1,0.9999842047691345,-0.0013939394848421216,0.0054435208439826965,7.352168904617429e-05
95736.231,1,0.9999843239784241,-0.0013902932405471802,0.005426203832030296,7.042328070383519e-05
95776.269,1,0.9999843239784241,-0.0013764635659754276,0.005428553093224764,6.956185097806156e-05
95816.25,1,0.9999843239784241,-0.0013815171550959349,0.005428154021501541,8.396702469326556e-05
95856.304,1,0.9999842047691345,-0.0013932567089796066,0.005441769957542419,7.409775571431965e-05
95896.236,1,0.9999842047691345,-0.0013910538982599974,0.005443220492452383,9.150350524578243e-05
95936.205,1,0.9999842047691345,-0.001407592324540019,0.005442615132778883,9.630504791857675e-05
95976.247,1,0.9999841451644897,-0.001412317156791687,0.0054476880468428135,0.0001048565682140179
96016.253,1,0.9999840259552002,-0.0013915846357122064,0.005482508800923824,0.00011366042599547654
96056.282,1,0.9999837279319763,-0.0013942307559773326,0.005526029504835606,0.00010732192458817735
96096.257,1,0.9999837279319763,-0.001413688063621521,0.005527283996343613,0.00011403669486753643
96136.2,1,0.9999836683273315,-0.001412758487276733,0.005531496834009886,0.00013930551358498633
96176.229,1,0.9999836087226868,-0.0014341560890898108,0.005545345135033131,0.00015362964768428355
96216.229,1,0.9999833703041077,-0.0014548376202583313,0.005580930504947901,0.00015491766680497676
96256.254,1,0.9999833106994629,-0.00145180884283036,0.0055852364748716354,0.00014736790035385638
96296.277,1,0.9999833106994629,-0.0014742325292900205,0.005580901633948088,0.00016283262812066823
96336.292,1,0.9999833703041077,-0.0014868886210024357,0.005571620538830757,0.00017433878383599222
96376.2,1,0.9999833106994629,-0.0014896538341417909,0.005583954509347677,0.0001726339542074129
96416.241,1,0.9999832510948181,-0.0014796657487750053,0.005593595560640097,0.0001742331951390952
